talkid,speaker,title,GENDER (M/F/X)
KYDfPSukAI0,Kenza Aloui & Inès Weill-Rochant,"Aborder autrement le conflit, tout un art. | Kenza Aloui & Inès Weill-Rochant | TEDxParis",F
l1UHf30nl2s,Emmanuelle Grundmann,Il était une forêt... | Emmanuelle Grundmann | TEDxMarseille,F
L4kkPrPC34A,Charlotte de Vilmorin,Arrêtez de faire comme si les marches n'existaient pas | Charlotte de Vilmorin | TEDxCelsa,F
L7LRlwjxQUM,Marine BILLET & Leslie COUTTERAND,De l’impuissance d'agir à la volonté d’aimer | Marine BILLET & Leslie COUTTERAND | TEDxLyon,F
La2iRoLKFfM,Marie-Hélène Fasquel,Pédagogie Inversée : l’élève acteur de ses apprentissages | Marie-Hélène Fasquel | TEDxRennes,F
LFJA80YdtGo,Pascale Casanova,L'handicap m'a fait vivre des choses extraordinaires | Pascale Casanova | TEDxToulouse,F
lhnGJJ4dGzI,Mariette Gerber,Tracer son chemin en suivant la propension des choses.  | Mariette Gerber | TEDxNarbonne,F
lkSzl6HSpKI,Olga Johnson,L'accès à l'énergie pour toute l'afrique | Olga Johnson | TEDxLille,F
LLSu6wZ3HAk,Corinne CAPDEQUI PEYRANERE,Oser l'authenticité de l'instant ! | Corinne CAPDEQUI PEYRANERE | TEDxAnnecy,F
LNQ5UeWqK9I,Patrizia Paterlini-Brechot,Sommes-nous en train de rattraper de vitesse le cancer ? | Patrizia Paterlini-Brechot | TEDxToulouse,F
LPJX_XgfeXc,Luciole,Vivons nos rêves et cessons de nous comparer aux autres ! | Luciole | TEDxCannes,F
LQ31QU97rSo,Seda Seren,Comment une maladie rare peut sauver des vies | Seda Seren | TEDxTours,F
LZznHRr9ebY,Caroline Idoux,J'habite dans une grosse dame | Caroline Idoux | TEDxNouméa,F
m0HYr57InHw,Joanna Denton,Le pouvoir d'un choix | Joanna Denton | TEDxIMTAtlantiqueBrest,F
MazKAWdhua0,Gaëlle Vandeputte Matthieu Sylvestre,Le travail au sens propre | Gaëlle Vandeputte Matthieu Sylvestre | TEDxUSMBAnnecy,F
Md-kZaKswf8,Sophie Sakka,Rob'Autisme | Sophie Sakka | TEDxRennes,F
mdinrBR7cZw,Hélène MIGEREL,"La ""soulagerie"", un espace d'écoute indispensable | Hélène MIGEREL | TEDxPointeaPitre",F
MEUn17PLTPw,Fanny Everard,How plastic straws will change the world | Fanny Everard | TEDxUCLouvain,F
MieE9C2sdqo,Caroline Codsi,"La résilience, le pouvoir de rebondir plus haut après une épreuve. | Caroline Codsi | TEDxAsfi",F
MLIDs9pZcAc,Sandrine MUSEL,Elle fait chanter vos neurones | Sandrine MUSEL | TEDxClermont,F
MMxEXP4n4FI,Isabelle Pailleau & Audrey Akoun,Tous conditionnés pour échouer ? | Isabelle Pailleau & Audrey Akoun | TEDxDunkerque,F
MPxKGqu4Kf0,Meryl Delferrière,Se libérer de la pression | Meryl Delferrière | TEDxCentraleLille,F
mt0pngr6DDQ,Manuella Hachet,"Einstein, un exemple d'échec scolaire | Manuella Hachet | TEDxEMLYON",F
N6d6yM-jt94,Céline Bardet,Je ne suis pas une arme de guerre. Et vous ? | Céline Bardet | TEDxParis,F
n7U_UW3qAEQ,Magda Hollander-Lafon,"Vers l’espérance, vers la vie ! | Magda Hollander-Lafon | TEDxRennes",F
naZLXErIsuY,Christel SICARD,Comment l’école nous rend invisibles | Christel SICARD | TEDxLimoges,F
Nd_8FTpC4_Y,Biba PEDRON,Faire de l'impossible sa réalité | Biba PEDRON | TEDxPointeaPitre,F
ndUsSvOFEVo,Emmanuelle Garault,Pression ou influence ? Le lobbying interroge | Emmanuelle Garault | TEDxUniversitéParisDauphine,F
ne2zdztCFBE,Bérengère Matta,Naufrages en Méditerranée : spectateurs ou citoyens ? | Bérengère Matta | TEDxRennes,F
NGyUDENpwFs,Sophie MOLLARD,Interlude musical | Sophie MOLLARD | TEDxAnnecy,F
NH3Lh6L87ag,Rozenn Harel,École démocratique Enthousiasme & Liberté d'apprendre changent tout | Rozenn Harel | TEDxRennesSalon,F
Nj2FFjQTsKc,Anna Choury,Les leçons de l'intelligence artificielle | Anna Choury | TEDxUniversitéParisDauphine,F
njVz3PolbQo,Sabine Kouli,Musiques et langues : un mariage de saveurs | Sabine Kouli | TEDxLyon,F
nRrVfPIXdnk,Amandine Dupont-Bechetoille,"Pourquoi l'enfer c'est pas les autres, c'est ma pensé | Amandine Dupont-Bechetoille | TEDxUSMBAnnecy",F
NSSYT9oPha0,Olivia PUTMAN,Mon chemin vers le design | Olivia PUTMAN | TEDxÉcoleCentraleLyon,F
Nt4qE9VYmdM,Laurence Ligier,Changer sa vie pour aider les autres à changer la leur | Laurence Ligier | TEDxInstitutLeRosey,F
nWp7aaFCkGk,Jessica Robino,Rêver pour prolonger la vie | Jessica Robino | TEDxAix,F
NWYyXmEPTgk,Delphine Buisson,Comment la course m'a donné une leçon de vie | Delphine Buisson | TEDxVaugirardRoad,F
nyfeEWiq2LI,Lola Guilldou,Tout le monde peut créer des jeux vidéo | Lola Guilldou | TEDxInstitutMinesTélécom,F
o_dBMN2_Vcg,Sonia Ben Ali,Rendre visibles les invisibles | Sonia Ben Ali | TEDxChampsElyseesSalon,F
o_vBl-yR0z0,Karin Tarte,"La bataille du cancer: le bon, la brute et le truand | Karin Tarte | TEDxRennes",F
o-H_V16oh4Q,Sandra Geiger,L’intelligence de situation | Sandra Geiger | TEDxRoanne,F
o5fC4EzPjD0,Christèle Perrot,Du burn-out à la performance - Est-ce la limite? | Christèle Perrot | TEDxAlsace,F
OBld2-rCgX8,Laëtitia Chabannes,What If Community | Laëtitia Chabannes | TEDxParis,F
ODWnaRgXNcc,Aline Peugeot,Être soi pour transcender nos rêves en réalités | Aline Peugeot | TEDxBelfort,F
ohPclCVVdBo,Nicole Mottet,Une certaine vision du monde | Nicole Mottet | TEDxMartigny | Nicole Mottet | TEDxMartigny,F
oNC4C4OqomI,Julia Montfort,Ouvrir sa porte à l'inconnu. Récit d'une solidarité ordinaire | Julia Montfort | TEDxParis,F
oRjwwsFRTlI,Elsa Secco,Le motion design peut vous aider à re-designer votre vie. | Elsa Secco | TEDxUSMBBourgetDuLac,F
oVsSHAp3daE,Sophie VOUZELAUD,Comment désobéir a changé ma vie et peut changer la vôtre | Sophie VOUZELAUD | TEDxLimoges,F
OWR_JC6JU6E,AnLo Piquet,Rendre visible ce qui n’existe pas encore | AnLo Piquet | TEDxVaugirardRoad,F
P_SpvNZkv7o,Catherine LENNE,"Les arbres se tiennent debout, comme les Hommes | Catherine LENNE | TEDxClermont",F
P4xfu8yRemU,Valérie Suner,Dépoussiérer le théâtre en le jouant à domicile et en ZUS | Valérie Suner | TEDxVaugirardRoad,F
P7My_R3xV7w,Clémence Peix-Lavallée,Débrancher simplement son cerveau | Clémence Peix-Lavallée | TEDxTours,F
PANT8BgcCBU,Joséphine Bouchez,Comment dépasser nos propres limites ? | Joséphine Bouchez | TEDxArts&EtMétiersParisTechLille,F
pC8UV4ouJZc,Anne PACCARD,"Les cloches, une poésie et un supplément d'âme au cœur de la Cité | Anne PACCARD | TEDxAnnecy",F
PMOhEoJkric,Sylvie ADELAIDE,Le pouvoir de tout changer | Sylvie ADELAIDE | TEDxPointeaPitre,F
pox62bUAy94,Magdalena RYCHLOWSKA,Les Cultures du Sourire | Magdalena RYCHLOWSKA | TEDxClermont,F
Pp41q0XNRF4,Juliette Colignon,La diversité des genres et attractions | Juliette Colignon | TEDxIESEGLille,F
PX4DUIuJhjs,Diana Filippova,L'engagement citoyen face au mythe du plein emploi | Diana Filippova | TEDxParis,F
pxfgiSvcH0o,Emma (pseudo),Repenser nos rapports femmes-hommes | Emma (pseudo) | TEDxLille,F
py_WpiCyyhg,Eléonor et Chloé Sana,Soeurs de glisse | Eléonor et Chloé Sana | TEDxUCLouvain,F
pztFDZfh6EM,Céline Gonzalez,Les Secrets pour Améliorer son Orthographe  | Céline Gonzalez | TEDxGrasse,F
Q4JmY7h9fcI,Dalila Kerchouche,Derrière le silence des Espionnes | Dalila Kerchouche | TEDxVaugirardRoad,F
QD3y4I5FCLs,Marie Treppoz,La place de la femme dans l'espace public | Marie Treppoz | TEDxChampsElyseesWomen,F
qd5IFXruEsQ,Léa Fisher,Comment vaincre une rupture amoureuse ? | Léa Fisher | TEDxNouméa,F
qHqElv07h9M,Florentine D'AULNOIS-WANG,L’intelligence amoureuse ou la mission du couple | Florentine D'AULNOIS-WANG | TEDxNarbonne,F
qKXmU4pFMy4,Stefania Tullio Cataldo,Et si Léonard était aussi un féministe ? | Stefania Tullio Cataldo | TEDxTours,F
qNKeHPsJoQ0,Margy Adjouhgniope,Le charbon vert pourrait sauver mon pays | Margy Adjouhgniope | TEDxNouméa,F
qtFD9yoat08,SOPHIE YVON,L’alimentation au service de notre équilibre intérieur | SOPHIE YVON | TEDxLille,F
QXq1ipRHXhQ,Noémie Mermet Joret,Les enfants ne pleurent jamais pour rien | Noémie Mermet Joret | TEDxClermont,F
r0wPcZqU2RQ,Cécilia Deniaud,La voix pour guérir | Cécilia Deniaud | TEDxLaRochelle,F
R9U9pD_9wGk,Elea Lemetayer,Oser être soi | Elea Lemetayer | TEDxUSMBAnnecy,F
rcmIir2I6Fo,Pascale Joannin,Le leadership des femmes en europe | Pascale Joannin | TEDxChampsElyseesWomen,F
rdGFXE1GbfE,Gilda GONFIER,Le conte comme éveil à soi même | Gilda GONFIER | TEDxPointeaPitre,F
RI6_h8Bp8lU,Maëlle Vilbert,Du labo à la rando: voyage dans la transparence des ailes de papillons | Maëlle Vilbert | TEDxSaclay,F
rmVp2YAep4o,Wadji Boukari-Ghiglione,Des confitures éphémères | Wadji Boukari-Ghiglione | TEDxISTEC,F
rMy4oHdOsVE,Laura Rouaux,"For a new chorus : information, reaction, action | Laura Rouaux | TEDxAgroParisTech",F
RObhnPPtUTU,Françoise MARCHAND,L'impact des écrans en éducation | Françoise MARCHAND | TEDxRoanne,F
rq3IHRqnvyg,Marie Magnin,Mettre une autre réalité sur les images télévisées des réfugiés | Marie Magnin | TEDxVaugirardRoad,F
rtxEuTeYCY8,Nathalie PAOLI,L'amour plus fort que la mort | Nathalie PAOLI | TEDxLyon,F
rvgJSIsgDb4,Alice Audouin,Appel aux artistes pour le développement durable ! | Alice Audouin | TEDxCannes,F
RvovoDVKFcc,Anne-Marie Pichon,Le métier d’accompagnant : une rencontre de cœur à coeur | Anne-Marie Pichon | TEDxNarbonne,F
rVWsY8YqaG4,Rachel Grange,Des nanocristaux pour changer la lumière | Rachel Grange | TEDxMartigny,F
rxEtYrVzb1M,Stéphanie Mazza,Elargir la porte d’entrée de notre mémoire | Stéphanie Mazza | TEDxClermont,F
rzlv6m11yX0,Gabriella Kern,How social networks made my dream come true | Gabriella Kern | TEDxPanthéonSorbonne,F
s-nxKD-6pzw,Bruna Perestrelo & Raquel Vidal,Le danger de la normalisation  | Bruna Perestrelo & Raquel Vidal | TEDxUniGeneva,F
s-s5qWSRCb8,Christel Le Coq,Sens interdit(s) | Christel Le Coq | TEDxRennes,F
s0SckuMIGXA,Lucie Vignon,Et si la tradition innovait ? | Lucie Vignon | TEDxESSCA,F
s1MUTAeWqn4,Mariame Tighanimine,De la sportification du business | Mariame Tighanimine | TEDxAix,F
S4CbtYM-Ihg,Yousra Bettahi,L'amour et les métaux | Yousra Bettahi | TEDxTours,F
s8LVKRl4waA,Anja Linder,"Ma vie, c'est jouer et avancer avec légèreté | Anja Linder | TEDxParis",F
sAmhlBczHIY,Seintinelles,Une armée pour faire avancer la recherche contre le cancer | Seintinelles | TEDxParis,F
sF46puxVzr0,Marion LORILLIERE,Des enzymes naturels pour une chimie alternative | Marion LORILLIERE | TEDxClermont,F
sIitn7vgxXE,Elise Boghossian,"Eux, c'est NOUS | Elise Boghossian | TEDxChampsElyseesSalon",F
slKhqc00eJs,Sarra GASPARD,"Oui, la chlordécone est biodégradable | Sarra GASPARD | TEDxPointeaPitre",F
SM1inTH_EnA,Alexandra Baldeh Loras,"Liberté, égalité, diversité ! | Alexandra Baldeh Loras | TEDxCannes",F
sphZS8JVwNc,Marion Seclin,Championne de France de cyber-harcèlement | Marion Seclin | TEDxChampsElyseesWomen,F
sr2l8PQg_2E,Anke Brock,Toucher et entendre les cartes géographiques | Anke Brock | TEDxUTCompiègne,F
SVZ8SwJVSdM,Florence IGONENC,Porter un nouveau regard sur notre relation avec notre corps | Florence IGONENC | TEDxAnnecy,F
szZAP2eDDPE,Anne-Caroline Paucot,L'amour 2.0 | Anne-Caroline Paucot | TEDxUniversitéParisDauphine,F
t_d6_UpfUtM,Audrey Dussutour,"Chez les fourmis, c'est le nombre qui compte ! | Audrey Dussutour | TEDxToulouse",F
t1EmxYD37io,Emilie Hazevis-Bini,Etre maçonne ou puériculteur : Et pourquoi pas ?  | Emilie Hazevis-Bini | TEDxUSMBAnnecy,F
T7e4cNI1yOU,Natacha Calestrémé,Sortir de la manipulation perverse | Natacha Calestrémé | TEDxLaRochelle,F
TcrbnMURLgk,Laura Dondi,Un TEDx...? Ce n'est pas pour moi ! | Laura Dondi | TEDxYouth@EEB3,F
TgOeFctWyQw,Marie Beauchesne,"Le féminisme, les hommes, la liberté et moi | Marie Beauchesne | TEDxChampsElyseesWomen",F
tJVWiIQHLAc,Sadia Alami,"La bagagerie pour SDF, une formule clé en main | Sadia Alami | TEDxRennes",F
tK9O39uCT34,Flore Vasseur,Ne pas faire l'histoire. Mais la permettre. | Flore Vasseur | TEDxVaugirardRoad,F
tLvaYkp741I,Julie Garnier,L'avenir de la biodivertsité entre les mains des femmes | Julie Garnier | TEDxÉcolePolytechnique,F
toQiIYZW410,Anne-Sophie Novel,Réparons l'information | Anne-Sophie Novel | TEDxLaRochelle,F
tPjRkgffbF4,Stéphanie Talleux,Donner de la force aux carrières vulnérables | Stéphanie Talleux | TEDxCelsa,F
TXt6cyogwEY,Alexia Audevart,Comment l'IA et les neurosciences révolutionnent l'apprentissage?  | Alexia Audevart | TEDxLaBaule,F
TzAIhCLyqXk,Cécile Coulon,Pourquoi rester quand tout nous pousse à partir ? | Cécile Coulon | TEDxClermont,F
U4z_aWf2DKQ,Maïa Mazaurette,Ce que l'on a oublié de vous dire sur le sexe | Maïa Mazaurette | TEDxTours,F
u8Oojo5pJqg,Léna BLOU,Le Bigidi : une parole de l'être ! | Léna BLOU | TEDxPointeaPitre,F
UHxiHyD6__E,Soeur Marie-Thérèse,"Comment je suis devenue ""maman"" de 60 orphelins de Brazzaville | Soeur Marie-Thérèse | TEDxParis",F
uiU1Nxhiocw,Flore Berlingen,Waste side story | Flore Berlingen | TEDxToulouse,F
ULkh0lfsEPo,Kay an nou,Et si on restaurait les récifs coralliens avec l'électricité ? | Kay an nou | TEDxPointeaPitre,F
uLpBGCX5LFs,Sandra Huygen,"De la Science à la Conscience, chemin initiatique d'éveil et de guérison | Sandra Huygen | TEDxLiège",F
ULzzNEne63E,Lucie de Clerck,"Djantoli, une balance et un téléphone portable pour sauver des vies | Lucie de Clerck | TEDxParis",F
UPc_xK2ZSJs,Eloise Bouton,Comment je suis devenue féministe freelance | Eloise Bouton | TEDxChampsElyseesWomen,F
UQLWAPePp8o,Charlie Danger,Pourquoi vous ne vous sentirez jamais la plus belle ? | Charlie Danger | TEDxISAESUPAERO,F
utH6DOdDzUE,Svenia Busson,Vers une nouvelle ère de l'éducation ? | Svenia Busson | TEDxReims,F
v12SN9zQlOU,Céline Ripert,Retour au Naturel et à l'Audace en Parfumerie | Céline Ripert | TEDxGrasse,F
v1TttwvadG8,Audrey Vernon,Comment épouser un-e milliardaire ? | Audrey Vernon | TEDxGeneva,F
v3PwN2Jr9ck,Rita Demerjian,J'ai quitté un pays où le jasmin pousse bien. | Rita Demerjian | TEDxNarbonne,F
V57_m8KgjWs,Rachel Jouvet,De femme battue à femme battante | Rachel Jouvet | TEDxRennes,F
Vb4wEgnCmzs,Violette Dorange,Ma force pour traverser les océans | Violette Dorange | TEDxLaRochelle,F
VCcJFYRgqO0,Céline Imart,"Agriculture -- idées recues, réalités | Céline Imart | TEDxToulouse",F
VGWOLmHZDX0,Rachel Bocquet,"Entre Schumpeter et Pretty Woman, ma théorie de l'innovation | Rachel Bocquet | TEDxUSMBAnnecy",F
Vl0YbA3bwtc,Françoise COUIC MARINIER,Le pouvoir de respirer | Françoise COUIC MARINIER | TEDxLimoges,F
Vq8QOMV0gxM,Françoise Masuy,Belgium on stage ou comment donner le goût d’apprendre les langues | Françoise Masuy | TEDxUCLouvain,F
VV86q5qylss,Marianne ALLANIC,"Intelligence Artificielle : demain, tous médecins ? | Marianne ALLANIC | TEDxNantesSalon",F
vVUtr1B0K88,Catherine Delanghe,"Deux familles, une seule histoire | Catherine Delanghe | TEDxLille",F
VYd51u4b9a0,Pascale Toscani,L'intelligence reconsidérée à la lumière des neurosciences éducatives | Pascale Toscani | TEDxRennes,F
w-Dj1UA_EmM,Emilie Coz,Une licence internationale sur mesure | Emilie Coz | TEDxUBO,F
W4jIApDM3so,Hélène Courtois,Ballade dans l’univers : à la découverte de Laniakea | Hélène Courtois | TEDxLyon,F
w5d0f2yKvUQ,Kayane Kayane,"Des jeux vidéo à l'e-Sport, parcours d'une e-combattante épanouie | Kayane Kayane | TEDxSaclay",F
w5up2xrI_2Y,Magali Leyvraz,Comment mieux prévenir les famines | Magali Leyvraz | TEDxGeneva,F
W6VKUlWVNUA,Béatrice De Reviers,Le regard de l’autre | Béatrice De Reviers | TEDxOrléans,F
waLiGPnNS9E,Mélissa Plaza,"Désolé ma puce, ça n’existe pas pour les filles ! | Mélissa Plaza | TEDxSaintBrieuc",F
wbyCMj4Uz-Q,Vanessa MILLET,"La vulnérabilité, mon héroïne | Vanessa MILLET | TEDxAnnecy",F
wDRYDpdLrCA,SOPHIE MASSIEU,Sophie nous propose d’en finir avec nos inhibitions et te tout oser… | SOPHIE MASSIEU | TEDxRoanne,F
WiJlV7A04P4,Marielle PLAISIR,Acta non verba | Marielle PLAISIR | TEDxPointeaPitre,F
wJwn7enbQf8,Simone Pâris de Bollardière,Désobéir est parfois un devoir | Simone Pâris de Bollardière | TEDxVannes,F
WO1q_ertIHw,Stéphanie Dommange,Les transports collectifs de demain | Stéphanie Dommange | TEDxLaRochelle,F
wrkaKIFMG5Y,Claire Chenu,Soil-utions? | Claire Chenu | TEDxAgroParisTech,F
x__dZsz9zmY,Rejane Senac,L'égalité sans condition | Rejane Senac | TEDxChampsElyseesWomen,F
x0g9403i7hU,Fanny Auger,"Changer le monde, une conversation à la fois  | Fanny Auger | TEDxMontrouge",F
x3j_Z8ixxPc,Caroline GERVAIS,Et si on décidait de rester sur Terre ? | Caroline GERVAIS | TEDxPointeaPitre,F
x7ozO9vZJdw,Zinnya Del Villar,Les femmes et le numérique : reformatons la société | Zinnya Del Villar | TEDxRennes,F
xgCIRnFzMeQ,Laetitia REBORD,La vie sexuelle inattendue d'une étoile de mer | Laetitia REBORD | TEDxAnnecy,F
xKSSEHbRXcM,Margaux Hammann,Et si on arrêtait d'avoir peur ? | Margaux Hammann | TEDxReims,F
XlChNebTNqA,Julie Willem,Permacity : vivre dans l'architecture de demain | Julie Willem | TEDxUCLouvain,F
xrpRhT4AXAI,Jeanne DUFOUR,Roue Libre | Jeanne DUFOUR | TEDxLimoges,F
xRVCjCNxST4,Ariane Borel,Et paf! J'ai plus peur | Ariane Borel | TEDxGeneva,F
XtP9foLlVNk,Pascale Chouatra,Ceux a qui les poubelles donnent | Pascale Chouatra | TEDxSaintBrieuc,F
Yeqz6KFc7Qc,Martha Diomandé,Matrone des temps modernes | Martha Diomandé | TEDxRennes,F
YFYz2EBcFIM,Régine Charvet-Pello,L'intelligence sensorielle | Régine Charvet-Pello | TEDxTours,F
yiHOwPJglZo,Françoise WILHELMI DE TOLEDO,"Manger, jeûner et vivre longtemps | Françoise WILHELMI DE TOLEDO | TEDxAnnecy",F
yjBpSpocZ0Y,Marie Eloy,Et si on osait croire en nous ! | Marie Eloy | TEDxLorient,F
YKbRSbw68Wo,Angèle Pailler,Ecological emergency : too late to act? | Angèle Pailler | TEDxYouth@CoursMirabeau,F
YlZwqbKkkWk,Sarah Longé,De la gériatrie vers la médecine préventive | Sarah Longé | TEDxLaRochelle,F
yozjU3tHnVY,Rose Lyndsay Daudier,L'éducation du futur / The education of the future | Rose Lyndsay Daudier | TEDxUmontreal,F
yQOI3ABSoIU,Laetitia Autret,La mère dans tous ses états -- comment j'ai transformé mon burn-out | Laetitia Autret | TEDxRéunion,F
ySsJjJsGfvY,Trang Pham,IngénieurE | Trang Pham | TEDxBordeaux,F
yZFamhW2imk,Marick Fèvre,Sexualité et vieillesse : 10 croyances à réfuter | Marick Fèvre | TEDxRennes,F
YzG7GN4XI34,ISABELLE VANDENBUSSCHE,Petit traité de philosophie empathique | ISABELLE VANDENBUSSCHE | TEDxLille,F
YzITOMccf7A,Divina Frau-Meigs,Une éducation critique aux médias & à l'information | Divina Frau-Meigs | TEDxChampsElyseesSalon,F
z5AO-603AmE,Maureen Clerc,Brain mapping and exploration to transform imagination into action | Maureen Clerc | TEDxCannes,F
z5Y5rdTlBeY,Myriam Ogier,Multipotentiels atypiques : les pépites de demain | Myriam Ogier | TEDxIssylesMoulineaux,F
Z7x1YqwdYRs,Annette Lanjouw,What should our relationship to other animals be? | Annette Lanjouw | TEDxCannes,F
Zbmgspy9QSg,Ingrid Brochard,Comment j'ai créé un musée d'art contemporain mobile et gratuit | Ingrid Brochard | TEDxTours,F
ZeG9c_JJrP4,Léa Ben Zimra,Authentique et haute en toques | Léa Ben Zimra | TEDxISTEC,F
zI9qKiQO8Zg,Morgane Seliman,N'ayons pas honte d'être victimes de violences conjugales | Morgane Seliman | TEDxMinesNancy,F
zjEfmB0DV0k,Frederique Bedos,Comment oser prendre des risques pour vivre une vie intense ? | Frederique Bedos | TEDxCannes,F
zJmV2ZOVvhA,Claire MEYNIAL,"Afrique, les migrants oubliés | Claire MEYNIAL | TEDxClermont",F
zkUshet8LDU,Jessica Pommier,"Voyager en solo oui, mais pas toute seule ! | Jessica Pommier | TEDxESCClermont",F
ZM-gFX_W97Y,Laura LANGE,Curieuse curiosité | Laura LANGE | TEDxAnnecy,F
zP6pso17LOU,Sandra Rey,La révolution de l'illumination | Sandra Rey | TEDxLille,F
ZrrkxywD0nQ,Laury Marullaz,Le sport ça ne sert à rien ! | Laury Marullaz | TEDxUSMBAnnecy,F
zV0fREd5V9g,Sandra DUPUIS,La Langue des Signes : l'invisible au grand jour | Sandra DUPUIS | TEDxPointeaPitre,F
ZV4zuepujSc,Thanh Nghiem,• Ces crapauds fous qui ouvrent la voie pour sauver l’humanité ?! | Thanh Nghiem | TEDxVaugirardRoad,F
zXlHmw2oEQU,Lucile Leménager & Nils Joyeux,Transport à la voile : le passé a de l'avenir | Lucile Leménager & Nils Joyeux | TEDxUBO,F
zYyAw-j6lkI,Florence Leoszewski,Où est la limite de l'amour ? - Est-ce la limite? | Florence Leoszewski | TEDxAlsace,F
_0IgadOsHqM,David Koubbi,Dysfonctionnement judiciaire et démocratie | David Koubbi | TEDxMinesNancy,M
_42nPGtJ7LE,Arthur Keller,Designing Lucid hopes for the future | Arthur Keller | TEDxToulouse,M
_9LeS6zYWdE,Jean-François Dubost,Le pouvoir des mots | Jean-François Dubost | TEDxChampsElyseesSalon,M
_a-aXCbdgb0,Raphaël Esterhazy,Libérez votre créativité | Raphaël Esterhazy | TEDxUCLouvain,M
_Bk-Pe34ESc,Stéphane Heulot,Quand le masque tombe | Stéphane Heulot | TEDxRennes,M
_D08lQrxWuo,Jean Jouzel,Un pacte finance climat européen pour lutter contre le réchauffement | Jean Jouzel | TEDxRennes,M
_erYjxg2uK4,Pierre Dupont,Comment les drones FPV révolutionnent le monde du Cinéma | Pierre Dupont | TEDxUSMBAnnecy,M
_oEJGo9sDL0,Arnaud Assoumani,Transformez vos faiblesses en atouts | Arnaud Assoumani | TEDxMinesNancy,M
_P4c7pIixSQ,ARNAUD COLLERY,"La passion, le moteur de notre vie ! | ARNAUD COLLERY | TEDxLille",M
_RGpby2RAzk,Double Cadence,Les Frères Lumière à Ouro Preto | Double Cadence | TEDxAvignon,M
_tQITdfo8F8,Samuel Le Bihan,Pollution plastique : tentons toutes les solutions possibles | Samuel Le Bihan | TEDxCannes,M
_VmxDZSJWpg,David GAY PERRET,Lifestyle Design - Construisez la vie dont vous rêvez | David GAY PERRET | TEDxUSMBAnnecy,M
0-DmpK7Di0c,Gilles Collaveri,L'Archéologie Aéronautique | Gilles Collaveri | TEDxColomiers,M
0-YMw58118Y,Steve GADET,"Au secours, les cultures urbaines sont dans ma classe | Steve GADET | TEDxPointeaPitre",M
0E8rHu2EYzU,Lucas Bonnie,Le pouvoir des vers de terre | Lucas Bonnie | TEDxUniversitedeTours,M
0jEEQD4awqw,Antoine Bordes,"Comprendre une image, pas si simple pour une machine | Antoine Bordes | TEDxTours",M
0kC2rok1Wp8,WAR! Artiste,Semer des graines de poésie dans le béton de notre époque | WAR! Artiste | TEDxRennes,M
0SFQize20uI,Julien Le Breton,La permaculture : une voie pour commencer à faire autrement ? | Julien Le Breton | TEDxNouméa,M
0ydI2B_b4bw,Arnaud Hauchard,Comment les échecs vous apprennent à devenir un champion | Arnaud Hauchard | TEDxÉcolePolytechnique,M
16pE5tKZuxg,Eric Brac de la Perrière,3 secondes pour la planète | Eric Brac de la Perrière | TEDxParis,M
1HDvcBDlNhg,Bruno Deprez,Comme il est bon de vite se tromper ! | Bruno Deprez | TEDxNouméa,M
1hgjfKHkR14,Omar Guerrero,Les souffrances invisibles | Omar Guerrero | TEDxChampsElyseesSalon,M
1I0KFxL3J1s,Francois Beaune,Histoires Vraies de Méditerranée | Francois Beaune | TEDxLyon,M
1iHjIapdFDI,William WATKINS,La résonance dans le monde du nano  | William WATKINS | TEDxSaclay,M
1kROaazgfBQ,Karl ROUSSEL,Et si l'argent devenait votre ami? | Karl ROUSSEL | TEDxPointeaPitre,M
1Nr0qrNQeGc,Edouard Tetreau,«Humanisme et gratuité» contre «argent et transhumanisme» | Edouard Tetreau | TEDxIssylesMoulineaux,M
1Q4Yrx-cUck,Philip Fitzgerald,La ligne blanche -- rugby et reconversion | Philip Fitzgerald | TEDxToulon,M
1RGOhyUIzVg,Vincent Benoit,"Et ensemble, ils créèrent leur monde | Vincent Benoit | TEDxToulouse",M
2007HiqIrLg,Steve Landauer,"Tomorrow, all programmers | Steve Landauer | TEDxYouth@CoursMirabeau",M
20YH8uzj9Ew,Jean-Philippe Hauss,De la volonté et des convictions - Est-ce la limite? | Jean-Philippe Hauss | TEDxAlsace,M
29y9bQak6-s,Nicolas d'Alessandro,Numérique et créativité: s'émouvoir pour innover | Nicolas d'Alessandro | TEDxUCLouvain,M
2fpgBo8Wwik,Stéphane Roger,Le voyage du héros | Stéphane Roger | TEDxLyon,M
2hsIjz5ee4o,Mario CAMPONE,"Le sens de l'Histoire : Le cancer, un modèle déterministe ? | Mario CAMPONE | TEDxLaBaule",M
2jnzdMEwEks,Thomas Jezequel,Les ponts des villes | Thomas Jezequel | TEDxChampsElyseesSalon,M
2PCoNO-B6qU,Jean-Noël GERTZ,Comment l'écologie profonde nous mènera à l'agriculture urbaine | Jean-Noël GERTZ | TEDxAnnecy,M
2qWKKQowguM,Maxime de Rostolan,La terre et l'éthique | Maxime de Rostolan | TEDxTours,M
2TnoN1zoh-8,Gérard Dubois,Une solidarité efficace | Gérard Dubois | TEDxChampsElyseesSalon,M
2VeEtXv_3NE,Michel Laprise,Le pouvoir du cercle | Michel Laprise | TEDxCannes,M
3_7sba9gLfw,Cédric Coulon,Trop robot pour être vrai | Cédric Coulon | TEDxRennes,M
